timestamp,pixel_color,coordinate
4 005351.577,#00CCC0,"826,1048"
4 005353.758,#94B3FF,"583,1031"
4 005354.685,#6A5CFF,"1873,558"
4 005457.541,#009EAA,"1627,255"
4 005516.307,#94B3FF,"49,1478"
4 005520.64,#E4ABFF,"408,1863"
4 005534.898,#94B3FF,"111,1582"
4 005540.375,#6A5CFF,"1334,1840"
4 005557.168,#6A5CFF,"1908,1854"
4 005607.43,#009EAA,"1504,1722"
4 005632.636,#94B3FF,"1850,1809"
4 005636.044,#009EAA,"123,1108"
4 005644.833,#94B3FF,"890,971"
4 005646.167,#00CCC0,"1982,1827"
4 005647.23,#6A5CFF,"1211,719"
4 005654.475,#E4ABFF,"1109,861"
4 005723.739,#6A5CFF,"1177,420"
4 005828.548,#6A5CFF,"216,1678"
4 005843.252,#94B3FF,"1384,517"
4 005912.25,#00CCC0,"1381,1677"
4 005916.93,#00CCC0,"1383,1680"
4 005923.391,#00CCC0,"1388,1671"
4 005947.23,#00CCC0,"635,1865"
4 005958.194,#00CCC0,"1381,1677"
4 010031.592,#94B3FF,"1799,1109"
4 010037.249,#00CCC0,"1422,1689"
4 010042.642,#E4ABFF,"666,1322"
4 010059.854,#6A5CFF,"1663,1254"
4 010114.002,#009EAA,"105,1651"
4 010119.418,#6A5CFF,"154,1800"
4 010140.511,#6A5CFF,"1856,1241"
4 010143.238,#009EAA,"1859,660"
4 010146.071,#009EAA,"122,1108"
4 010212.026,#6A5CFF,"1055,361"
4 010215.976,#009EAA,"1509,1718"
4 010224.044,#00CCC0,"529,1977"
4 010238.571,#94B3FF,"586,1031"
4 010251.632,#6A5CFF,"1840,550"
4 010316.545,#94B3FF,"502,1571"
4 010341.359,#94B3FF,"1894,1840"
4 010348.136,#00CCC0,"151,1614"
4 010418.655,#E4ABFF,"301,1838"
4 010427.82,#00CCC0,"1142,199"
4 010448.738,#E4ABFF,"198,312"
4 010505.896,#94B3FF,"1308,1853"
4 010513.343,#6A5CFF,"1346,1966"
4 010519.079,#00CCC0,"1341,1673"
4 010521.228,#6A5CFF,"1263,1163"
4 010526.666,#94B3FF,"144,452"
4 010553.832,#00CCC0,"1336,1445"
4 010555.354,#E4ABFF,"1835,1797"
4 010618.296,#94B3FF,"791,1190"
4 010648.595,#00CCC0,"1686,1240"
4 010658.725,#E4ABFF,"404,1369"
4 010705.52,#94B3FF,"1737,1636"
4 010710.607,#E4ABFF,"1995,234"
4 010711.403,#009EAA,"1654,579"
4 010713.93,#94B3FF,"1706,390"
4 010724.08,#94B3FF,"617,1753"
4 010803.689,#00CCC0,"402,1251"
4 010832.9,#94B3FF,"1709,1524"
4 010852.146,#009EAA,"373,1892"
4 010902.468,#009EAA,"1987,358"
4 010932.151,#94B3FF,"1437,1443"
4 010939.682,#00CCC0,"367,1256"
